Estado,Date,Type,INY,EXT
Tabasco,2020-10-01,MEAS,56.92608816,416.4022429
Tamaulipas,2020-10-01,MEAS,4378.222077,893.37767
Tlaxcala,2020-10-01,MEAS,0,5.918798368
Veracruz,2020-10-01,MEAS,166.4724452,880.8817872
Yucatán,2020-10-01,MEAS,0,140.0069003
Zacatecas,2020-10-01,MEAS,0,11.7689662
Aguascalientes,2020-11-01,MEAS,0,12.1714372
Baja California,2020-11-01,MEAS,419.5197772,415.5866919
Baja California Sur,2020-11-01,MEAS,0,0
Campeche,2020-11-01,MEAS,0,0
Coahuila,2020-11-01,MEAS,39.22729535,201.5468993
Colima,2020-11-01,MEAS,171.3798609,161.0321695
Chiapas,2020-11-01,MEAS,866.6923527,227.0029868
Chihuahua,2020-11-01,MEAS,854.5257311,399.0998813
Ciudad de México,2020-11-01,MEAS,0,0
Durango,2020-11-01,MEAS,0,517.2479202
Guanajuato,2020-11-01,MEAS,0,342.3935893
Guerrero,2020-11-01,MEAS,0,0
Hidalgo,2020-11-01,MEAS,0,254.852309
Jalisco,2020-11-01,MEAS,0,214.5936425
México,2020-11-01,MEAS,0,371.5061831
Michoacán,2020-11-01,MEAS,0,160.555221
Morelos,2020-11-01,MEAS,0,10.21356389
Nayarit,2020-11-01,MEAS,0,0
Nuevo León,2020-11-01,MEAS,282.1153047,1085.783024
Oaxaca,2020-11-01,MEAS,0,20.12535633
Puebla,2020-11-01,MEAS,0,211.945624
Querétaro,2020-11-01,MEAS,0,123.6442653
Quintana Roo,2020-11-01,MEAS,0,0
San Luis Potosí,2020-11-01,MEAS,0,264.4667789
Sinaloa,2020-11-01,MEAS,0,105.2126667
Sonora,2020-11-01,MEAS,275.0137101,267.8870335
Tabasco,2020-11-01,MEAS,48.91706881,376.6311904
Tamaulipas,2020-11-01,MEAS,4283.090777,939.2198072
Tlaxcala,2020-11-01,MEAS,0,5.625599908
Veracruz,2020-11-01,MEAS,156.7311966,838.9478411
Yucatán,2020-11-01,MEAS,0,151.0569274
Zacatecas,2020-11-01,MEAS,0,0.244392136
Aguascalientes,2020-05-01,CONF,0,7.675898892
Baja California,2020-05-01,CONF,345.4424513,343.395902
Baja California Sur,2020-05-01,CONF,0,0
Campeche,2020-05-01,CONF,0,0
Coahuila,2020-05-01,CONF,43.78739593,196.6230514
Colima,2020-05-01,CONF,207.0921754,213.4981202
Chiapas,2020-05-01,CONF,744.5572584,51.26449183
Chihuahua,2020-05-01,CONF,595.3811915,245.5826117
Ciudad de México,2020-05-01,CONF,0,0
Durango,2020-05-01,CONF,0,206.3099822
Guanajuato,2020-05-01,CONF,0,336.8798321
Guerrero,2020-05-01,CONF,0,0
Hidalgo,2020-05-01,CONF,0,214.6943501
Jalisco,2020-05-01,CONF,0,102.1747751
México,2020-05-01,CONF,0,291.8205565
Michoacán,2020-05-01,CONF,0,129.8326563
Morelos,2020-05-01,CONF,0,5.246091986
Nayarit,2020-05-01,CONF,0,0
Nuevo León,2020-05-01,CONF,288.5970219,1038.321517
Oaxaca,2020-05-01,CONF,0,19.15664743
Puebla,2020-05-01,CONF,0,141.4551793
Querétaro,2020-05-01,CONF,0,88.8541837
Quintana Roo,2020-05-01,CONF,0,0
San Luis Potosí,2020-05-01,CONF,0,244.1699695
Sinaloa,2020-05-01,CONF,0,187.538494
Sonora,2020-05-01,CONF,285.2481166,279.8979692
Tabasco,2020-05-01,CONF,37.64341818,425.9012563
Tamaulipas,2020-05-01,CONF,4016.447127,927.5587231
Tlaxcala,2020-05-01,CONF,0,5.424995383
Veracruz,2020-05-01,CONF,197.1744672,947.8284654
Yucatán,2020-05-01,CONF,0,91.45092204
Zacatecas,2020-05-01,CONF,0,7.824617562
Aguascalientes,2020-06-01,CONF,0,11.09147206
Baja California,2020-06-01,CONF,426.9544567,555.12984
Baja California Sur,2020-06-01,CONF,0,0
Campeche,2020-06-01,CONF,0,0
Coahuila,2020-06-01,CONF,22.84163128,195.6436025
Colima,2020-06-01,CONF,247.2322107,247.2322107
Chiapas,2020-06-01,CONF,708.169606,32.05349912
Chihuahua,2020-06-01,CONF,737.82977,506.1284103
Ciudad de México,2020-06-01,CONF,0,0
Durango,2020-06-01,CONF,0,231.9703385
Guanajuato,2020-06-01,CONF,0,347.7256379
Guerrero,2020-06-01,CONF,0,0
Hidalgo,2020-06-01,CONF,0,247.7118909
Jalisco,2020-06-01,CONF,0,139.0459898
México,2020-06-01,CONF,0,340.688036
Michoacán,2020-06-01,CONF,0,146.9412925
Morelos,2020-06-01,CONF,0,8.011241252
Nayarit,2020-06-01,CONF,0,0
Nuevo León,2020-06-01,CONF,333.4978151,1009.350767
Oaxaca,2020-06-01,CONF,0,17.62248487
Puebla,2020-06-01,CONF,0,161.0946249
Querétaro,2020-06-01,CONF,0,94.28845533
Quintana Roo,2020-06-01,CONF,0,0
San Luis Potosí,2020-06-01,CONF,0,306.62826
Sinaloa,2020-06-01,CONF,0,227.8712709
Sonora,2020-06-01,CONF,318.5301105,316.0748558
Tabasco,2020-06-01,CONF,45.10697723,362.2369038
Tamaulipas,2020-06-01,CONF,4376.425981,934.7725165
Tlaxcala,2020-06-01,CONF,0,5.948429716
Veracruz,2020-06-01,CONF,199.6426753,908.5182157
Yucatán,2020-06-01,CONF,0,93.69101396
Zacatecas,2020-06-01,CONF,0,10.08596839
Aguascalientes,2020-07-01,CONF,0,11.2362464
Baja California,2020-07-01,CONF,508.8281879,477.0818012
Baja California Sur,2020-07-01,CONF,0,0
Campeche,2020-07-01,CONF,0,0
Coahuila,2020-07-01,CONF,21.19943236,194.1275201
Colima,2020-07-01,CONF,227.3084779,227.3084779
Chiapas,2020-07-01,CONF,667.9398082,47.27147587
Chihuahua,2020-07-01,CONF,835.2015305,583.0871357
Ciudad de México,2020-07-01,CONF,0,0
Durango,2020-07-01,CONF,0,239.8972807
Guanajuato,2020-07-01,CONF,0,354.9467971
Guerrero,2020-07-01,CONF,0,0
Hidalgo,2020-07-01,CONF,0,230.5980182
Jalisco,2020-07-01,CONF,0,228.8278013
México,2020-07-01,CONF,0,308.2790621
Michoacán,2020-07-01,CONF,0,135.1384387
Morelos,2020-07-01,CONF,0,7.983923111
Nayarit,2020-07-01,CONF,0,0
Nuevo León,2020-07-01,CONF,311.4828675,925.8745649
Oaxaca,2020-07-01,CONF,0,18.6909988
Puebla,2020-07-01,CONF,0,178.645452
Querétaro,2020-07-01,CONF,0,103.7721782
Quintana Roo,2020-07-01,CONF,0,0
San Luis Potosí,2020-07-01,CONF,0,290.9622272
Sinaloa,2020-07-01,CONF,0,200.7279292
Sonora,2020-07-01,CONF,366.2401617,367.1482396
Tabasco,2020-07-01,CONF,47.77516001,379.4474354
Tamaulipas,2020-07-01,CONF,4609.283075,1100.769217
Tlaxcala,2020-07-01,CONF,0,5.735252433
Veracruz,2020-07-01,CONF,213.474243,897.6259604
Yucatán,2020-07-01,CONF,0,93.92187836
Zacatecas,2020-07-01,CONF,0,10.21761812
Aguascalientes,2020-08-01,CONF,0,12.14718352
Baja California,2020-08-01,CONF,600.582374,545.8349502
Baja California Sur,2020-08-01,CONF,0,0
Campeche,2020-08-01,CONF,0,0
Coahuila,2020-08-01,CONF,43.26879153,221.3034163
Colima,2020-08-01,CONF,260.1556402,260.1556402
Chiapas,2020-08-01,CONF,781.6608695,45.17225037
Chihuahua,2020-08-01,CONF,857.9691215,612.6710657
Ciudad de México,2020-08-01,CONF,0,0
Durango,2020-08-01,CONF,0,239.2625304
Guanajuato,2020-08-01,CONF,0,347.6395242
Guerrero,2020-08-01,CONF,0,0
Hidalgo,2020-08-01,CONF,0,271.1006291
Jalisco,2020-08-01,CONF,0,117.5192041
México,2020-08-01,CONF,0,339.2345257
Michoacán,2020-08-01,CONF,0,153.004262
Morelos,2020-08-01,CONF,0,48.81078018
Nayarit,2020-08-01,CONF,0,0
Nuevo León,2020-08-01,CONF,346.5330586,1138.000321
Oaxaca,2020-08-01,CONF,0,21.86951651
Puebla,2020-08-01,CONF,0,172.4536807
Querétaro,2020-08-01,CONF,0,103.3609987
Quintana Roo,2020-08-01,CONF,0,0
San Luis Potosí,2020-08-01,CONF,0,302.9934894
Sinaloa,2020-08-01,CONF,0,266.4092112
Sonora,2020-08-01,CONF,384.8672896,390.6881858
Tabasco,2020-08-01,CONF,48.49675136,407.5168936
Tamaulipas,2020-08-01,CONF,4639.227499,1074.867883
Tlaxcala,2020-08-01,CONF,0,6.047521124
Veracruz,2020-08-01,CONF,211.8959089,890.8388121
Yucatán,2020-08-01,CONF,0,0.092716253
Zacatecas,2020-08-01,CONF,0,11.41860632
Aguascalientes,2020-09-01,CONF,0,12.49834592
Baja California,2020-09-01,CONF,573.0869762,518.9912796
Baja California Sur,2020-09-01,CONF,0,0
Campeche,2020-09-01,CONF,0,0
Coahuila,2020-09-01,CONF,42.77916109,211.1764065
Colima,2020-09-01,CONF,246.4127915,271.9603904
Chiapas,2020-09-01,CONF,813.6613676,45.10227618
Chihuahua,2020-09-01,CONF,901.2361691,477.7660563
Ciudad de México,2020-09-01,CONF,0,0
