Fecha,Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12,Link13,Link14,Link15,Link16,Link17,Link18,Link19,Link20,Link21,Link22,Link23,Link24,Link25,Link26,Link27,Link28,Link29,Link30,Link31,Link32,Link33,Link34,Link35,Link36,Link37,Link38
2017-11-01,3650.55436,1152.80664,2989.741888,211.922813,651.438385,44.239224,88.183785,110.988835,367.646842,2378.578,38.319,366.569,5.181,0,413.51,0,0,873.882,1697.459922,0.359826,2746.225,1717.135085,1061.297,246.874,254.917,0.302,138.323,88.554,2416.066,966.4264,1159.71168,289.92792,-10.290903,,966.4264,1159.71168,289.92792,3561.540078
2017-12-01,3656.28552,1154.61648,2849.770077,196.443305,635.126804,38.63916,84.783375,112.690331,360.23693,2318.144,36.328,366.101,5.359,0,460.546,0,0,816.895,1685.228865,0.529034,2678.381,1878.302941,1204.188,246.874,265.609,0.292,143.157,84.65,2428.974,971.5896,1165.90752,291.47688,4.110902,,971.5896,1165.90752,291.47688,3431.771135
2018-01-01,3731.64864,1178.41536,3072.007594,176.064336,685.761495,45.179683,89.717719,120.710169,352.556747,2457.118,36.638,361.173,5.863,0,520.283,0,0,730.79,1654.746634,1.47467,2809.675,1674.684527,1027.71,226.387,251.494,0.289,152.131,78.1,2381.986,952.7944,1143.35328,285.83832,-9.806452,,952.7944,1143.35328,285.83832,3463.253366
2018-02-01,3687.98284,1164.62616,2988.67568,168.882134,720.396718,45.946723,90.064208,116.852741,333.131479,2420.299,32.088,347.225,7.154,0,417.59,0,0,736.435,1549.752856,0,2753.43,1673.055109,1019.278,248.405,232.02,0.298,158.435,84.945,2328.235,931.294,1117.5528,279.3882,-1.725459,,931.294,1117.5528,279.3882,3643.247144
2018-03-01,3530.6332,1114.9368,3015.332384,113.596449,621.340879,46.549745,85.1153,115.704686,330.065294,2505.949,32.857,313.909,7.253,0,374.557,0,0,729.361,1472.668946,-0.000834,2836.014,1673.838764,1038.645,250.123,240.611,0.281,129.916,98.832,2284.455,913.782,1096.5384,274.1346,7.77983,,913.782,1096.5384,274.1346,3631.331054
2018-04-01,3700.364,1168.536,3016.317104,137.901161,742.505157,47.176484,91.642794,119.244699,331.056867,2449.224,33.382,300.488,7.404,0,395.706,0,0,760.043,1516.326731,0.11733,2780.281,1705.636715,1024.779,272.918,251.699,0.333,141.576,97.83,2243.112,897.2448,1076.69376,269.17344,-1.590759,,897.2448,1076.69376,269.17344,3675.673269
2018-05-01,3668.87644,1158.59256,2978.078802,148.67825,746.321749,44.944204,84.488475,110.489706,330.202565,2444.542,29.194,287.891,7.257,0,403.229,0,0,785.743,1514.637735,27.903752,2774.745,1782.688088,1078.614,289.719,264.39,0.332,132.272,93.232,2195.515,878.206,1053.8472,263.4618,-0.186832,,878.206,1053.8472,263.4618,3779.362265
2018-06-01,3678.7154,1161.6996,2999.410251,193.841026,759.419337,43.370119,87.140825,112.973914,314.360493,2460.04,28.348,281.943,4.464,0,404.447,0,0,737.129,1457.757522,0,2774.4,1668.728627,1052.617,253.326,211.043,0.292,136.744,73.99,2274.023,909.6092,1091.53104,272.88276,9.58069,,909.6092,1091.53104,272.88276,4035.242478
2018-07-01,3690.46652,1165.41048,3016.344249,159.651762,791.933834,46.830672,87.201313,113.808458,300.891897,2446.892,33.078,318.281,5.147,0,361.88,0,0,389.338,1268.317336,0,2747.784,1720.205582,1067.275,247.828,261.135,0.314,129.612,92.659,2001.277,800.5108,960.61296,240.15324,6.950924,,800.5108,960.61296,240.15324,4472.682664
2018-08-01,3722.14484,1175.41416,2949.474294,149.646376,866.202246,41.94678,87.841988,106.991959,298.656351,2388.128,5.436,328.043,34.469,0,363.258,0,0,369.702,1100.908523,5.716272,2686.784,1737.703226,1103.147,247.547,212.651,0.306,160.217,88.549,1909.324,763.7296,916.47552,229.11888,-3.350232,,763.7296,916.47552,229.11888,4826.091477
2018-09-01,3733.96512,1179.14688,2934.919106,163.856541,848.49692,41.835864,86.006318,110.835623,308.169093,2395.906,23.507,329.749,0.759,0,340.742,0,0,370.497,1065.252916,0.286316,2704.075,1693.880224,1058.607,268.895,183.58,0.304,170.027,88.982,1816.906,726.7624,872.11488,218.02872,2.33283,,726.7624,872.11488,218.02872,4825.747084
