Date,NER1,NER2,NER3,NER4,NER5
2020-07-31,317432,141554,39301,32753,113609
2020-08-01,317937,142100,19572,30715,108839
2020-08-02,270048,143297,46747,29063,61326
2020-08-03,325677,144766,80564,38105,70242
2020-08-04,326090,88542,81150,40311,70225
2020-08-05,273438,106342,81006,37523,70526
2020-08-06,346093,143722,81077,37758,103674
2020-08-07,406269,143510,79434,37770,140101
2020-08-08,392248,143481,53919,32466,134719
2020-08-09,312370,127125,39983,31598,125794
2020-08-10,364399,143479,75175,38313,127054
2020-08-11,388571,142936,66251,38633,126219
2020-08-12,339957,142382,42771,36181,118442
2020-08-13,342079,142918,50282,35521,120619
2020-08-14,376207,142962,79256,35118,119107
2020-08-15,347613,143575,58099,30201,119432
2020-08-16,319353,143631,35855,29615,118552
2020-08-17,382258,143851,74375,36180,124828
2020-08-18,384313,143565,80710,37083,122520
2020-08-19,398326,143816,86579,37286,126916
2020-08-20,403844,143263,103087,37805,122913
2020-08-21,390606,144175,80265,34080,124481
2020-08-22,378153,143954,71592,31457,136550
2020-08-23,354307,144261,61143,30997,125279
2020-08-24,317071,118867,66798,32484,107629
2020-08-25,406609,136636,83801,38796,127937
2020-08-26,379318,142828,79965,39683,127112
2020-08-27,400809,141487,79659,39031,127870
2020-08-28,379205,142878,79915,377122,124202
2020-08-29,380234,142674,70969,32262,124629
2020-08-30,339362,142835,41728,30306,122592
2020-08-31,373550,142413,77669,36771,124312
2020-09-01,369141,141690,73696,37143,127240
2020-09-02,376734,141915,61020,36117,123484
2020-09-03,389553,143235,83375,38334,122929
2020-09-04,409326,143497,79816,35952,123494
2020-09-05,377061,144903,55007,32616,118616
2020-09-06,288174,144084,38,32343,109686
2020-09-07,347813,144026,57574,32294,120658
2020-09-08,366612,143542,73052,39744,144832
2020-09-09,377021,143393,56342,40402,120925
2020-09-10,255444,121106,0,42266,107010
2020-09-11,266165,142172,0,38740,113188
2020-09-12,287701,144421,0,33462,118280
2020-09-13,256391,133379,0,30742,114199
2020-09-14,307292,144594,0,39659,117624
2020-09-15,297454,145090,0,39748,114153
2020-09-16,302396,144831,19782,38767,115658
2020-09-17,392198,146017,58909,42559,131248
2020-09-18,397331,145917,59385,37808,123253
2020-09-19,327720,135051,21668,32064,103152
2020-09-20,254659,125601,39783,23928,95764
2020-09-21,374542,146324,71977,39325,116854
2020-09-22,383439,146382,77642,41276,121024
2020-09-23,415094,143396,89116,40387,120812
2020-09-24,402332,142269,81825,40291,124882
2020-09-25,380912,142233,81055,39154,122704
2020-09-26,352827,142434,38732,33855,118463
2020-09-27,291471,141707,52191,31607,121586
2020-09-28,314180,127681,62468,40320,117334
2020-09-29,254333,108692,43543,40184,117796
2020-09-30,194484,84899,18035,40171,124053
2020-10-01,268716,142242,30,40505,120948
2020-10-02,250043,142656,0,40290,121212
2020-10-03,257120,134698,30,35446,121152
2020-10-04,201221,97105,0,34061,114168
2020-10-05,218572,54147,5264,39341,127259
2020-10-06,274306,86359,49848,10296,128421
2020-10-07,195364,70368,30836,38917,125242
2020-10-08,271090.5,106563.333,36197.667,38350.167,128799.833
2020-10-09,282003.583,115270.222,42017.278,36499.528,128044.972
2020-10-10,266850.681,119047.093,33436.491,39189.449,126826.634
2020-10-11,272286.961,126742.775,27272.406,38439.857,125103.573
2020-10-12,286933,143311,35443,50330,131168
2020-10-13,345277,143026,56210,51067,127410
2020-10-14,306091,142169,39585,40150,133299
2020-10-15,299893,143136,39427,40217,125098
2020-10-16,246662,136776,12556,41003,120476
2020-10-17,267222,139664,0,35380,121376
2020-10-18,221608,124234,0,32974,108501
2020-10-19,283225.167,139990.667,26005.667,39463.667,118338.833
2020-10-20,267294.361,128719.111,19066.611,38750.611,116400.806
2020-10-21,247917.921,121274.13,11439.213,40811.546,115561.773
2020-10-22,246996.908,303273.151,9475.248,43110.804,116031.402
2020-10-23,252082.698,342033.399,6725.679,43892.16,114508.497
2020-10-24,255341.906,430007.136,5602.628,43216.902,112842.134
2020-10-25,250094.378,305602.171,5459.139,43338.717,111831.008
2020-10-26,294256.721,242262.107,31161.261,42906.812,117406.126
2020-10-27,267429.457,220807.061,19891.153,42248.324,114972.429
2020-10-28,251946.22,176513.056,12036.68,43985.306,115873.427
2020-10-29,311361,148660,55084,44833,120263
2020-10-30,336906,149204,64831,43415,121007
2020-10-31,315592,141406,23563,39177,118410
2020-11-01,179213,77816,0,42094,110772
2020-11-02,220575,115479,0,52410,120948
2020-11-03,283756,1236360,340,45135,114167
2020-11-04,245956,147095,33,43135,103942
2020-11-05,334564,146493,64656,44609,119290
2020-11-06,314876,109686,74112,41264,69169
2020-11-07,334464,106624,45522,33940,79153
2020-11-08,338719.75,125930,79125.5,40632.75,96977.5
2020-11-09,344101.188,130344.25,68779.875,40497.688,103165.375
2020-11-10,353399,143003,100446,43645,119306
2020-11-11,352140,144407,96422,43682,120282
2020-11-12,351081,144416,54050,43736,116249
2020-11-13,299744,143802,39224,12623,11772
2020-11-14,250348,144031,36,36817,117372
2020-11-15,242007,132513,36,33676,113618
2020-11-16,259363,132647,24377,38572,117996
2020-11-17,323050,140172,25159,45953,117690
2020-11-18,268061,147566,32,42551,118130
2020-11-19,315563,146766,1075,44348,115648
2020-11-20,292000,115902,36,43958,116507
2020-11-21,222076,95485,36,35038,29792
2020-11-22,281839,125728.5,9561.25,42293.75,95339
2020-11-23,261732.25,127330.375,6993.563,41874.188,90247.25
2020-11-24,264852.813,120985.469,10303.453,41787.484,104436.063
2020-11-25,333920,146857,38173,43955,117400
2020-11-26,279360,144670,0,46224,117657
2020-11-27,263654,143438,18377,43941,118201
2020-11-28,252186,87445,6282,39041,113957
2020-11-29,196723,56941,77,37035,130334
2020-11-30,254311,140905,10540,47682,121790
2020-12-01,238996,113407,0,51999,110586
2020-12-02,258926,127705,37,54995,104547
2020-12-03,200902,132072,0,56989,11827
2020-12-04,286726,150172,0,53674,120403
2020-12-05,245638,149870,0,47585,87397
2020-12-06,253464,143659,37,45188,114067
2020-12-07,324817,148265,30851,53711,118084
2020-12-08,305205,123515,21368,55132,101130
2020-12-09,274123,148933,9867,55155,116228
2020-12-10,279424,135804,0,54188,108941
2020-12-11,265122,140076,247,50188,117549
2020-12-12,260822,132149,0,40505,97506
2020-12-13,277058,137037.25,1207.75,50030.25,110756
2020-12-14,298115,151891,0,54634,117604
2020-12-15,284173,124033,4584,54794,110365
2020-12-16,259378,148389,2690,54062,111144
2020-12-17,263174,111630,0,54577,102889
2020-12-18,200059,105175,0,51623,96665
2020-12-19,233517,108543,0,45924,103401
2020-12-20,154762,65225,0,42953,106575
2020-12-21,260771,140546,0,48855,114708
2020-12-22,238877,147951,0,50464,117803
2020-12-23,264098,129954,4481,45325,110518
2020-12-24,205993,110273,32,32129,110718
2020-12-25,154328,81850,0,30011,109658
2020-12-26,236669,71085,0,36139,10818
2020-12-27,117118,61256,0,36159,105400
2020-12-28,144498,66433,5925,43448,46198
2020-12-29,165770,107261,0,44018,60763
2020-12-30,180474,122139,0,43356,77864
2020-12-31,199872,121492,0,31098,103821
2021-01-01,184674,34267,0,28886,108424
2021-01-02,184170,70824,37,36862,101594
2021-01-03,179107,60353,0,40278,90186
2021-01-04,207980,109735,33,48541,96561
2021-01-05,245050,92025,39,50290,93482
2021-01-06,196278,100217,0,51198,91125
2021-01-07,210935,103156,25,51469,97713
2021-01-08,237184,86881,35,51627,85266
2021-01-09,216405,90551,0,45103,92279
2021-01-10,186961,71643,41,44716,106044
2021-01-11,229443,153018,0,60624,127180
2021-01-12,304765,131600,0,60773,129928
2021-01-13,312968,141148,0,57933,120196
2021-01-14,289881,110262,0,47194,105459
2021-01-15,246813,129921,37,48050,107630
2021-01-16,203554,107379,0,42207,103889
2021-01-17,151262,81205,36,39802,109496
2021-01-18,221597,55362,0,46408,97627
2021-01-19,157371,78591,39,49757,119565
2021-01-20,296227,142782,735,49115,121388
2021-01-21,285921,144196,15275,48632,117871
2021-01-22,256276,128185,437,47860,99310
2021-01-23,178397,99923,0,41880,95953
2021-01-24,149116,88043,0,38617,41200
2021-01-25,269401,132458,77,47660,112697
2021-01-26,295451,131892,10145,47855,106323
2021-01-27,196679,113910,0,49144,80096
2021-01-28,240909,115658,0,48632,101074
2021-01-29,209500,99976,0,46943,81106
2021-01-30,185827,112113,0,39179,97291
2021-01-31,210742,106486,0,36703,48474
2021-02-01,164173,99867,0,41326,65454
2021-02-02,274843,112836,0,49347,99911
2021-02-03,229586,89040,0,47180,72440
2021-02-04,218627,94826,16047,47248,102562
2021-02-05,212545,119827,0,45856,97258
2021-02-06,273965,111146,0,41668,81448
2021-02-07,210670,94369,5223,39692,45118
2021-02-08,292866,138711,0,46813,105399
2021-02-09,251768,116540,2611.5,43252.5,75258.5
2021-02-10,272317,127625.5,1305.75,45032.75,90328.75
2021-02-11,262042.5,122082.75,1958.625,44142.625,82793.625
2021-02-12,267179.75,124854.125,1632.188,44587.688,86561.188
2021-02-13,,,,,
2021-02-14,,,,,
2021-02-15,32269,0,30792,23012,74
2021-02-16,41923,0,66586,4104,152
2021-02-17,169677,0,91178,0,63
2021-02-18,153157,29822,80479,5,45326
2021-02-19,294181,75710,103741,15581,96706
2021-02-20,310626,96406,58882,27360,92951
2021-02-21,217430,110991,0,34879,94227
2021-02-22,320402,122961,8748,48752,104601
2021-02-23,244859,105702,0,50883,107572
2021-02-24,313488,124460,0,50717,119868
2021-02-25,291844,131042,0,49089,115552
2021-02-26,307249,121859,0,49743,115892
2021-02-27,208859,75207,0,43865,75243
2021-02-28,162186,93818,0,39311,67515
2021-03-01,199368,71373,0,47631,81701
2021-03-02,215574,72863,0,49406,109552
2021-03-03,259226,71143,0,49643,112472
2021-03-04,244143,72720,0,48748,116557
2021-03-05,198566,74803,0,47542,102777
2021-03-06,189724,75596,0,41656,95013
2021-03-07,205479,75118,0,42152,103793
2021-03-08,224545,74858,0,49744,100552
2021-03-09,249977,74080,0,49661,106737
2021-03-10,251493,72748,0,49357,101871
2021-03-11,201074,72731,0,48441,94744
2021-03-12,209154,73130,0,48191,100740
2021-03-13,207034,70153,9498,40535,110076
2021-03-14,218970,73481,0,36713,95387
2021-03-15,220088,73042,0,39721,109408
2021-03-16,231398,73199,32,43724,113397
2021-03-17,259394,73745,15525,45553,100917
2021-03-18,263666,73983,10712,43720,106578
2021-03-19,251792,73969,0,47689,107205
2021-03-20,231150,73771,0,41824,105888
2021-03-21,185479,73875,0,39189,87864
2021-03-22,287084,93250,12138,47032,109795
2021-03-23,247234,126755,18987,47072,119874
2021-03-24,310868,119646,20710,45193,117529
2021-03-25,297427,134465,1272,45915,95260
2021-03-26,265947,73150,51353,44394,115485
2021-03-27,256471,72604,28935,40685,109702
2021-03-28,254567,74320,21303,39459,108076
2021-03-29,265483,73534,13447,46831,121085
2021-03-30,262754,72931,25168,44795,119056
2021-03-31,254050,72756,0,47519,100886
2021-04-01,219286,74611,0,44602,107304
2021-04-02,200929,49293,0,41745,99005
2021-04-03,174143,24151,0,37120,106240
2021-04-04,176257,42727,0,39002,110340
2021-04-05,215038,73570,0,47591,116300
2021-04-06,270975,72298,17309,49066,99319
2021-04-07,209655,80562,31890,47242,118094
2021-04-08,278515,83814,47881,46192,118040
2021-04-09,315695,121910,40601,43937,116513
