Date,TLA1,TLA2,TLA3,TLA4,TLA5,TLA6
2020-07-29,136923,0,0,0,152,0
2020-07-30,136509,0,0,0,414,0
2020-07-31,136048,0,0,0,461,0
2020-08-01,135732,0,0,0,316,0
2020-08-02,135520,0,0,0,212,0
2020-08-03,135060,0,0,0,460,0
2020-08-04,134942,0,0,0,117,0
2020-08-05,134555,0,0,0,387,0
2020-08-06,134133,0,0,0,422,0
2020-08-07,133713,0,0,0,421,0
2020-08-08,133596,0,0,0,117,0
2020-08-09,133158,0,0,0,438,0
2020-08-10,132774,0,0,0,384,0
2020-08-11,132693,0,0,0,81,0
2020-08-12,132293,0,0,0,400,0
2020-08-13,131894,0,0,0,399,0
2020-08-14,131421,0,0,0,473,0
2020-08-15,131069,0,0,0,352,0
2020-08-16,130942,0,0,0,128,0
2020-08-17,130553,0,0,0,389,0
2020-08-18,130141,0,0,0,412,0
2020-08-19,129748,0,0,0,393,0
2020-08-20,129366,0,0,0,382,0
2020-08-21,129645,0,0,0,0 0,0
2020-08-22,129494,0,0,0,151,0
2020-08-23,128777,0,0,0,717,0
2020-08-24,128567,0,0,0,210,0
2020-08-25,128337,0,0,0,231,0
2020-08-26,127856,0,0,0,480,0
2020-08-27,127649,0,0,0,207,0
2020-08-28,127209,0,0,0,440,0
2020-08-29,126786,0,0,0,423,0
2020-08-30,126353,0,0,0,433,0
2020-08-31,126182,0,0,0,171,0
2020-09-01,125782,0,0,0,399,0
2020-09-02,125335,0,0,0,448,0
2020-09-03,124963,0,0,0,372,0
2020-09-04,124789,0,0,0,174,0
2020-09-05,124432,0,0,0,357,0
2020-09-06,124087,0,0,0,345,0
2020-09-07,123978,0,0,0,109,0
2020-09-08,123605,0,0,0,373,0
2020-09-09,123159,0,0,0,446,0
2020-09-10,123042,0,0,0,117,0
2020-09-11,122640,0,0,0,402,0
2020-09-12,122228,0,0,0,412,0
2020-09-13,121775,0,0,0,453,0
2020-09-14,121369,0,0,0,406,0
2020-09-15,121255,0,0,0,114,0
2020-09-16,120849,0,0,0,406,0
2020-09-17,120609,0,0,0,240,0
2020-09-18,120316,0,0,0,293,0
2020-09-19,120055,0,0,0,261,0
2020-09-20,119773,0,0,0,282,0
2020-09-21,119500,0,0,0,273,0
2020-09-22,119198,0,0,0,301,0
2020-09-23,118931,0,0,0,267,0
2020-09-24,118566,0,0,0,365,0
2020-09-25,118309,0,0,0,257,0
2020-09-26,117875,0,0,0,434,0
2020-09-27,117440,0,0,0,435,0
2020-09-28,117005,0,0,0,435,0
2020-09-29,116611,0,0,0,394,0
2020-09-30,116439,0,0,0,172,0
2020-10-01,116309,0,0,0,130,0
2020-10-02,116000,0,0,0,309,0
2020-10-03,115544,0,0,0,457,0
2020-10-04,115121,0,0,0,423,0
2020-10-05,114969,0,0,0,152,0
2020-10-06,114485,0,0,0,483,0
2020-10-07,114066,0,0,0,419,0
2020-10-08,114032,0,0,0,34,0
2020-10-09,113859,0,0,0,173,0
2020-10-10,113436,0,0,0,424,0
2020-10-11,112977,0,0,0,459,0
2020-10-12,112494,0,0,0,483,0
2020-10-13,112178,0,0,0,316,0
2020-10-14,112082,0,0,0,96,0
2020-10-15,111670,0,0,0,412,0
2020-10-16,111244,0,0,0,426,0
2020-10-17,110971,0,0,0,273,0
2020-10-18,110671,0,0,0,300,0
2020-10-19,110437,0,0,0,234,0
2020-10-20,109980,0,0,0,457,0
2020-10-21,109569,0,0,0,411,0
2020-10-22,109352,0,0,0,217,0
2020-10-23,109042,0,0,0,310,0
2020-10-24,108795,0,0,0,247,0
2020-10-25,108552,0,0,0,243,0
2020-10-26,108073,0,0,0,479,0
2020-10-27,107620,0,0,0,453,0
2020-10-28,107232,0,0,0,388,0
2020-10-29,107160,0,0,0,72,0
2020-10-30,106801,0,0,0,358,0
2020-10-31,106320,0,0,0,481,0
2020-11-01,105920,0,0,0,401,0
2020-11-02,105740,0,0,0,180,0
2020-11-03,105311,0,0,0,429,0
2020-11-04,104927,0,0,0,384,0
2020-11-05,104677,0,0,0,250,0
2020-11-06,104265,0,0,0,412,0
2020-11-07,104151,0,0,0,114,0
2020-11-08,103857,0,0,0,294,0
2020-11-09,103625,0,0,0,231,0
2020-11-10,103280,0,0,0,345,0
2020-11-11,102990,0,0,0,290,0
2020-11-12,102542,0,0,0,447,0
2020-11-13,102297,0,0,0,245,0
2020-11-14,101865,0,0,0,432,0
2020-11-15,101620,0,0,0,246,0
2020-11-16,101188,0,0,0,432,0
2020-11-17,101027,0,0,0,161,0
2020-11-18,100604,0,0,0,423,0
2020-11-19,100181,0,0,0,423,0
2020-11-20,99872,0,0,0,310,0
2020-11-21,99486,0,0,0,386,0
2020-11-22,99113,0,0,0,372,0
2020-11-23,98900,0,0,0,213,0
2020-11-24,98415,0,0,0,485,0
2020-11-25,98220,0,0,0,194,0
2020-11-26,98037,0,0,0,183,0
2020-11-27,97762,0,0,0,275,0
2020-11-28,97316,0,0,0,446,0
2020-11-29,96931,0,0,0,385,0
2020-11-30,96727,0,0,0,204,0
2020-12-01,96618,0,0,0,110,0
2020-12-02,96017,0,0,0,601,0
2020-12-03,95801,0,0,0,216,0
2020-12-04,95556,0,0,0,245,0
2020-12-05,95130,0,0,0,426,0
2020-12-06,95022,0,0,0,107,0
2020-12-07,94547,0,0,0,475,0
2020-12-08,94308,0,0,0,240,0
2020-12-09,93867,0,0,0,440,0
2020-12-10,93601,0,0,0,267,0
2020-12-11,93391,0,0,0,209,0
2020-12-12,92980,0,0,0,411,0
2020-12-13,92678,0,0,0,302,0
2020-12-14,92235,0,0,0,443,0
2020-12-15,91972,0,0,0,263,0
2020-12-16,91537,0,0,0,436,0
2020-12-17,91319,0,0,0,217,0
2020-12-18,90865,0,0,0,454,0
2020-12-19,90821,0,0,0,44,0
2020-12-20,90516,0,0,0,306,0
2020-12-21,90077,0,0,0,439,0
2020-12-22,89649,0,0,0,429,0
2020-12-23,89435,0,0,0,213,0
2020-12-24,89153,0,0,0,282,0
2020-12-25,88718,0,0,0,435,0
2020-12-26,88310,0,0,0,408,0
2020-12-27,88219,0,0,0,91,0
2020-12-28,87998,0,0,0,220,0
2020-12-29,87550,0,0,0,448,0
2020-12-30,87121,0,0,0,429,0
2020-12-31,86822,0,0,0,299,0
2021-01-01,86393,0,0,0,430,0
2021-01-02,86324,0,0,0,68,0
2021-01-03,85895,0,0,0,429,0
2021-01-04,85654,0,0,0,241,0
2021-01-05,85232,0,0,0,422,0
2021-01-06,84976,0,0,0,256,0
2021-01-07,84870,0,0,0,107,0
2021-01-08,84558,0,0,0,311,0
2021-01-09,84147,0,0,0,411,0
2021-01-10,83910,0,0,0,237,0
2021-01-11,83471,0,0,0,439,0
2021-01-12,83187,0,0,0,284,0
2021-01-13,82956,0,0,0,230,0
2021-01-14,82676,0,0,0,280,0
2021-01-15,82319,0,0,0,358,0
2021-01-16,81880,0,0,0,439,0
2021-01-17,81508,0,0,0,372,0
2021-01-18,81214,0,0,0,294,0
2021-01-19,81050,0,0,0,165,0
2021-01-20,80598,0,0,0,451,0
2021-01-21,80309,0,0,0,289,0
2021-01-22,80108,0,0,0,201,0
2021-01-23,79654,0,0,0,454,0
2021-01-24,79616,0,0,0,37,0
2021-01-25,79276,0,0,0,340,0
2021-01-26,78825,0,0,0,451,0
2021-01-27,78388,0,0,0,437,0
2021-01-28,78205,0,0,0,183,0
2021-01-29,77772,0,0,0,433,0
2021-01-30,77368,0,0,0,404,0
2021-01-31,77148,0,0,0,221,0
2021-02-01,76769,0,0,0,379,0
2021-02-02,76521,0,0,0,248,0
2021-02-03,76270,0,0,0,251,0
2021-02-04,75844,0,0,0,426,0
2021-02-05,75422,0,0,0,422,0
2021-02-06,75025,0,0,0,396,0
2021-02-07,74842,0,0,0,183,0
2021-02-08,74568,0,0,0,274,0
2021-02-09,74136,0,0,0,433,0
2021-02-10,73867,0,0,0,269,0
2021-02-11,73447,0,0,0,420,0
2021-02-12,73285,0,0,0,162,0
2021-02-13,72895,0,0,0,390,0
2021-02-14,72509,0,0,0,386,0
2021-02-15,72408,0,0,0,101,0
2021-02-16,50999,0,0,0,21410,0
2021-02-17,44000,0,0,0,6998,0
2021-02-18,41367,0,0,0,2634,0
2021-02-19,109139,0,149113,0,5198,0
2021-02-20,171785,0,0,0,13497,0
2021-02-21,164921,0,0,0,6864,0
2021-02-22,156335,0,0,0,8586,0
2021-02-23,147757,0,0,0,8578,0
2021-02-24,272247,0,132498,0,8008,0
2021-02-25,263972,0,0,0,8275,0
2021-02-26,257352,0,0,0,6620,0
2021-02-27,251071,0,0,0,6281,0
2021-02-28,244647,0,0,0,6424,0
2021-03-01,244418,0,0,0,229,0
2021-03-02,244191,0,0,0,227,0
2021-03-03,243836,0,0,0,355,0
2021-03-04,243567,0,0,0,269,0
2021-03-05,243360,0,0,0,207,0
2021-03-06,243100,0,0,0,260,0
2021-03-07,242840,0,0,0,260,0
2021-03-08,242587,0,0,0,253,0
2021-03-09,242301,0,0,0,285,0
2021-03-10,242034,0,0,0,268,0
2021-03-11,241778,0,0,0,256,0
2021-03-12,241294,0,0,0,484,0
2021-03-13,240809,0,0,0,486,0
2021-03-14,240318,0,0,0,491,0
2021-03-15,239837,0,0,0,481,0
2021-03-16,234719,0,0,0,5118,0
2021-03-17,227367,0,0,0,7352,0
2021-03-18,226263,0,0,0,1103,0
2021-03-19,225774,0,0,0,489,0
2021-03-20,225288,0,0,0,487,0
2021-03-21,224800,0,0,0,488,0
2021-03-22,224350,0,0,0,450,0
2021-03-23,224106,0,0,0,244,0
2021-03-24,223676,0,0,0,430,0
2021-03-25,223265,0,0,0,411,0
2021-03-26,222819,0,0,0,447,0
2021-03-27,222387,0,0,0,431,0
2021-03-28,222357,0,0,0,30,0
2021-03-29,222049,0,0,0,308,0
2021-03-30,221603,0,0,0,446,0
2021-03-31,221388,0,0,0,215,0
2021-04-01,221191,0,0,0,197,0
2021-04-02,220984,0,0,0,207,0
2021-04-03,220569,0,0,0,416,0
2021-04-04,220383,0,0,0,185,0
2021-04-05,219928,0,0,0,455,0
2021-04-06,219723,0,0,0,206,0
2021-04-07,219515,0,0,0,208,0
2021-04-08,219155,0,0,0,360,0
2021-04-09,218707,0,0,0,448,0
2021-04-10,218247,0,0,0,460,0
2021-04-11,217768,0,0,0,478,0
2021-04-12,217527,0,0,0,241,0
2021-04-13,210962,0,0,0,6565,0
