Date,KMMty1,KMMty2
2021-05-17,497660,0
2021-05-18,403715,0
2021-05-19,470900,0
2021-05-20,404560,0
2021-05-21,479978,0
2021-05-22,484204,0
2021-05-23,484529,0
2021-05-24,484405,0
2021-05-25,505371,0
2021-05-26,484949,0
2021-05-27,484050,0
2021-05-28,482411,0
2021-05-29,484483,0
2021-05-30,483066,0
2021-05-31,483293,0
2021-06-01,478556,0
2021-06-02,484098,0
2021-06-03,484197,0
2021-06-04,483798,0
2021-06-05,498693,0
2021-06-06,497152,0
2021-06-07,480263,0
2021-06-08,512158,0
2021-06-09,521773,0
2021-06-10,521900,0
2021-06-11,522315,0
2021-06-12,484158,0
2021-06-13,483973,0
2021-06-14,484759,0
2021-06-15,484126,0
2021-06-16,520390,0
2021-06-17,512475,0
2021-06-18,481139,0
2021-06-19,480509,0
2021-06-20,479281,0
2021-06-21,479406,0
2021-06-22,481926,0
2021-06-23,481434,0
2021-06-24,480447,0
2021-06-25,484887,0
2021-06-26,462025,0
2021-06-27,463626,0
2021-06-28,478238,0
2021-06-29,514937,0
2021-06-30,490465,0
2021-07-01,469638,0
2021-07-02,472977,0
2021-07-03,452410,0
2021-07-04,458666,0
2021-07-05,459555,0
2021-07-06,460294,0
2021-07-07,464651,0
2021-07-08,466307,0
2021-07-09,460832,0
2021-07-10,458571,0
2021-07-11,458982,0
2021-07-12,469955,0
2021-07-13,470777,0
2021-07-14,470605,0
2021-07-15,569261,0
2021-07-16,554065,0
2021-07-17,531685,0
2021-07-18,498864,0
2021-07-19,523301,0
2021-07-20,523972,0
2021-07-21,574413,0
2021-07-22,571962,0
2021-07-23,534278,0
2021-07-24,518926,0
2021-07-25,528312,0
2021-07-26,535627,0
2021-07-27,535619,0
2021-07-28,561923,0
2021-07-29,557633,0
2021-07-30,556018,0
2021-07-31,553184,0
2021-08-01,516952,0
2021-08-02,525405,0
2021-08-03,521438,0
2021-08-04,521680,0
2021-08-05,515467,0
2021-08-06,511691,0
2021-08-07,505288,0
2021-08-08,512075,0
2021-08-09,521091,0
2021-08-10,521443,0
2021-08-11,521863,0
2021-08-12,521646,0
2021-08-13,520802,0
2021-08-14,513352,0
2021-08-15,511556,0
2021-08-16,522566,0
2021-08-17,515336,0
2021-08-18,554401,0
2021-08-19,560539,0
2021-08-20,560510,0
2021-08-21,505530,0
2021-08-22,505526,0
2021-08-23,512150,0
2021-08-24,529019,0
2021-08-25,547092,0
2021-08-26,549386,0
2021-08-27,536576,0
2021-08-28,524892,0
2021-08-29,490101,0
2021-08-30,545403,0
2021-08-31,513171,0
2021-09-01,541851,0
2021-09-02,542945,0
2021-09-03,504637,0
2021-09-04,439768,0
2021-09-05,434693,0
2021-09-06,468209,0
2021-09-07,418461,0
2021-09-08,423823,0
2021-09-09,444397,0
2021-09-10,449041,0
2021-09-11,431855,0
2021-09-12,430654,0
2021-09-13,448802,0
2021-09-14,452071,0
2021-09-15,451616,0
2021-09-16,446942,0
2021-09-17,488504,0
2021-09-18,437702,0
2021-09-19,432826,0
2021-09-20,480659,0
2021-09-21,487226,0
2021-09-22,450571,0
2021-09-23,466808,0
2021-09-24,458032,0
2021-09-25,449947,0
2021-09-26,437129,0
2021-09-27,476735,0
2021-09-28,502296,0
2021-09-29,501082,0
2021-09-30,468407,0
2021-10-01,496995,0
2021-10-02,476041,0
2021-10-03,382444,0
2021-10-04,513344,0
2021-10-05,577638,0
2021-10-06,548321,0
