Date,SAGU1,SAGU2,SAGU3,SAGU4,SAGU5,SAGU6,SAGU7
2021-05-29,106542.88,114728.13,0,7137.38,0,17771.25,193115.63
2021-05-30,103821.06,113836.44,0,7134.31,0,14809.38,192523.19
2021-05-31,9687,164691,0,6741,0,85303,78813
2021-06-01,122468,104643,0,6206,0,18957,199059
2021-06-02,122548,95130,0,6176,0,9478.5,199057.5
2021-06-03,122628,85617,0,6146,0,0,199056
2021-06-04,117740.5,90374,0,5203,0,0,199846
2021-06-05,112853,95131,0,4260,0,0,200636
2021-06-06,109680,104643,0,4260,0,0,206953
2021-06-07,111242,101472.33,0,4287.67,0,0,205375.33
2021-06-08,111193,104643,0,4343,0,0,208537
2021-06-09,146294.5,104643,0,5795,0,33173.5,208537
2021-06-10,181396,104643,0,7247,0,66347,208537
2021-06-11,141594,137939,0,6441,0,56875,212329
2021-06-12,161495,121291,0,6844,0,61611,210433
2021-06-13,151544.5,129615,0,6642.5,0,59243,211381
2021-06-14,103982.5,87469.2,0,6200.44,0,20699.44,161636.12
2021-06-15,139887.67,64942.33,0,6508.89,0,14665,180375.89
2021-06-16,135090.83,61141.5,0,6536.28,0,10876.5,175964.94
2021-06-17,280430,0,0,7421,0,66372,202749
2021-06-18,122519.14,65098.74,0,5477.58,0,13560.4,165690.74
2021-06-19,130966.43,62673.68,0,5826.43,0,15208.03,169661.18
2021-06-20,116810.95,85631.72,0,5893.65,0,12967.15,180319.69
2021-06-21,101234,97188,0,6174.48,0,22999.38,166446.91
2021-06-22,140092.96,72158.15,0,6600.32,0,16294.44,186200.32
2021-06-23,276174,0,0,6035,0,70095,194808
2021-06-24,162252.7,81684.45,0,6964.85,0,32426.15,200973.2
2021-06-25,119186.63,102136.42,0,6228.52,0,18213.01,193569.62
2021-06-26,123954.26,98738.16,0,6149.96,0,18918.06,194261.56
2021-06-27,118903.9,105767.63,0,6122.49,0,17403.91,197726.58
2021-06-28,210345,42537,0,5476,0,37913,203778
2021-06-29,128909.11,97757.25,0,6374.54,0,20028.91,196955.37
2021-06-30,205166,42538,0,7387,0,28434,208108
