Date,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12
2019-09-23,1169985,31026,48837,774,3338,1995,108032,697,106820,568,0,863498
2019-09-24,1161548,30930,28893,809,3524,2152,96801,624,108388,453,0,881715
2019-09-25,1151140,31024,48713,567,3274,2471,67321,469,108368,400,0,873094
2019-09-26,1112592,31026,45015,437,4204,2059,63531,628,108670,367,0,847475
2019-09-27,1025532,31069,47960,501,3036,2128,64890,518,108277,398,0,776364
2019-09-28,1016530,31085,44943,482,3919,2529,59243,453,104703,279,0,764838
2019-09-29,1112391,31003,45420,294,4134,2593,78293,498,103562,365,0,847126
2019-09-30,976245,30959,45063,174,3956,2358,105411,641,103130,447,0,695505
2019-10-01,1059407,30985,45009,406,4012,2232,112725,709,103189,504,0,749610
2019-10-02,1056987,30967,44570,707,3359,2586,94995,807,103425,503,0,770993
2019-10-03,1012938,30943,49431,722,3103,2416,114591,780,103316,494,0,708402
2019-10-04,981809,30893,43778,1189,3294,2372,99200,634,101486,471,0,702606
2019-10-05,956177,30828,44031,833,3206,2652,71980,604,87207,299,0,699728
2019-10-06,989140,30904,43528,729,3243,2608,71171,873,77270,361,0,762429
2019-10-07,1051783,30956,45770,964,3176,2382,99857,948,97965,465,0,767821
2019-10-08,1064623,30943,44795,1045,2756,2230,107917,889,105728,467,0,767243
2019-10-09,972284,30993,43904,1545,1151,2528,106051,863,109284,514,0,682721
2019-10-10,1035337,30989,45556,1138,3537,2539,108548,861,107058,510,0,732012
2019-10-11,995784,30930,44264,1071,3434,2461,97223,773,102973,362,0,697105
2019-10-12,987235,30944,44883,929,3633,2565,51211,783,97120,197,0,756251
2019-10-13,1031293,30891,43852,1032,4589,2351,92680,695,89946,305,0,757294
2019-10-14,1089548,30884,44384,1442,5103,2391,111657,666,102286,442,0,792157
2019-10-15,994997,30886,45993,1347,4928,2054,113052,917,102737,487,0,706175
2019-10-16,963044,30907,56479,1235,3537,2482,102449,910,106224,450,0,662446
2019-10-17,962432,30858,60622,884,4664,2505,107878,845,107981,458,0,640012
2019-10-18,992037,30828,55279,930,5079,2607,106758,739,106516,389,0,669192
2019-10-19,1015332,30755,44432,682,5131,2595,101627,779,100379,219,0,713146
2019-10-20,1011162,30808,44653,882,5264,2446,93745,685,96120,327,0,727416
2019-10-21,1000277,30762,44440,767,5335,2452,99565,637,107797,460,0,714490
2019-10-22,1010476,30790,52172,1134,5163,1934,109796,808,107788,479,0,702334
2019-10-23,1050456,30707,52741,1463,4420,2471,112773,1067,107659,561,0,742227
2019-10-24,1094718,30792,55586,1355,4284,2536,110147,979,105226,535,0,777307
2019-10-25,1048626,30798,55812,1250,4210,2574,108363,869,102924,420,0,735318
2019-10-26,1085528,31983,49976,1514,4515,2720,102209,815,106862,251,0,794770
2019-10-27,985987,30702,45153,1382,4220,2544,83329,1089,97318,400,0,714767
2019-10-28,1074869,30672,26786,1641,4214,2156,107026,1007,107320,565,0,793155
2019-10-29,1073223,30820,50763,1254,4402,2188,107936,610,107534,467,0,764606
2019-10-30,1036212,30792,56191,1149,4253,2539,107348,514,107502,502,0,736165
2019-10-31,746303,30825,46658,1689,4572,2602,108055,862,104458,673,0,493388
2019-11-01,836778,30823,46326,1773,4433,2607,105734,1184,100411,420,0,569743
2019-11-02,1051762,31049,45415,1815,4570,2529,88906,1095,101118,205,0,755750
2019-11-03,1065482,31054,47531,1382,4323,2640,82904,992,101734,472,0,769494
2019-11-04,1015366,31506,55012,1207,3185,2129,108724,814,108675,599,0,692519
2019-11-05,1020327,30885,51760,1361,2955,2271,108774,1035,108379,538,0,690684
