Date,MYK1,MYK2,MYK3,MYK4,MYK5,MYK6,MYK8,MYK9,MYK10,MYK11,MYK12,MYK15,MYK16,MYK18
2019-06-03,71235,0,0,25,0,50717,7606,817,1202,656,1377,0,0,1019
2019-06-04,62753,0,0,0,0,48447,7528,814,1161,606,1082,0,0,1216
2019-06-05,62786,0,0,0,0,52794,7545,822,1209,515,1251,0,0,376
2019-06-06,94997,0,0,0,0,56499,7205,743,1074,537,1109,0,0,662
2019-06-07,92263,0,0,23446,0,49818,6916,827,1008,545,1699,0,0,895
2019-06-08,62576,0,0,27643,0,30386,6326,800,212,295,1784,0,0,689
2019-06-09,63661,0,0,28651,0,34529,6569,575,227,9,1661,0,0,682
2019-06-10,70924,0,0,27819,0,37349,6540,606,1300,606,1807,0,0,656
2019-06-11,80777,0,0,26503,0,37860,7828,906,1343,723,1993,0,0,865
2019-06-12,71580,0,0,26782,0,38890,8167,884,1255,694,2025,0,0,395
2019-06-13,74846,0,0,27001,0,46604,8133,866,1373,757,458,0,0,714
2019-06-14,71538,138,0,27010,0,28597,7820,867,1286,741,1470,0,0,1071
2019-06-15,78309,266,0,26800,0,28216,7642,834,274,276,1976,0,0,1078
2019-06-16,56340,55,0,26945,0,36214,7197,612,278,81,1832,0,0,973
2019-06-17,88526,0,0,28238,0,41198,7202,807,1369,662,1532,0,0,864
2019-06-18,82781,0,0,26814,0,35707,7743,807,1370,662,2121,0,0,811
2019-06-19,79716,0,0,29839,0,45106,8151,871,1214,676,2018,0,0,608
2019-06-20,82595,0,0,29286,0,36894,7998,861,1385,722,1262,0,0,888
2019-06-21,91866,0,0,28252,0,46103,7562,829,1211,697,298,0,0,1159
2019-06-22,61263,0,0,26895,0,40426,7337,791,399,302,490,0,0,968
2019-06-23,93909,0,0,26707,0,37797,7539,603,275,82,426,0,0,906
2019-06-24,65563,0,0,26910,0,31817,7315,866,1225,630,525,0,0,764
2019-06-25,75743,0,0,26921,0,28313,7461,849,1154,663,672,0,0,266
2019-06-26,84898,0,0,27281,0,49044,7725,820,1167,714,357,0,0,874
2019-06-27,79754,0,0,26857,0,62331,7741,857,1294,683,504,0,0,1144
2019-06-28,93508,0,0,26848,0,44391,7360,860,1020,683,713,0,0,1077
2019-06-29,62330,0,0,26825,0,0,5879,857,1016,680,320,0,0,809
2019-06-30,39167,0,0,26949,0,6955,6335,621,238,82,495,0,0,748
2019-07-01,51737,0,0,29868,0,35534,6939,871,1206,654,438,0,0,753
2019-07-02,84402,0,0,32243,0,22306,7396,878,1264,700,1631,0,0,632
2019-07-03,75365,0,0,30326,0,29552,7323,861,1310,664,2011,0,0,325
2019-07-04,78234,0,0,29549,0,32765,6941,882,1322,646,1865,0,0,553
2019-07-05,67909,0,0,26963,0,28190,6936,852,1205,631,1330,0,0,1081
2019-07-06,68916,0,0,27049,0,27488,7677,862,264,362,1473,0,0,938
2019-07-07,64049,0,0,26879,0,28753,7163,631,267,67,1181,0,0,996
2019-07-08,55275,0,0,26623,0,29102,7849,862,1310,661,1211,0,0,864
2019-07-09,72139,0,0,26930,0,39875,8290,886,1316,676,1251,0,0,605
2019-07-10,69323,0,0,27195,0,44344,7912,888,1141,681,787,0,0,567
2019-07-11,78818,0,0,27718,0,29573,8145,884,1087,649,1169,0,0,1041
2019-07-12,84519,228,0,871,0,57076,7643,624,1071,679,1271,0,0,1017
2019-07-13,32556,143,0,0,0,28626,7540,260,353,319,1743,0,0,1011
2019-07-14,46774,0,0,0,0,40690,7275,108,216,68,1775,0,0,852
2019-07-15,42483,0,0,0,0,28284,7010,673,1208,653,1651,0,0,882
2019-07-16,39094,0,0,0,0,28335,7804,804,1154,691,1970,0,0,970
2019-07-17,43122,0,0,0,0,28755,7992,845,1220,691,1629,0,0,1156
2019-07-18,37833,0,0,0,0,27952,8022,914,1045,683,1840,0,0,1158
2019-07-19,44000,0,0,0,0,28007,7632,857,979,676,1800,0,0,1087
2019-07-20,38632,0,0,0,0,41912,7547,819,312,314,2030,0,0,1161
2019-07-21,52296,0,0,0,0,28632,7529,602,325,84,1889,0,0,1197
2019-07-22,79811,0,0,0,0,26110,7254,894,1174,629,1813,0,0,755
2019-07-23,49894,0,0,0,0,36275,7180,885,1257,688,1826,0,0,416
2019-07-24,54819,0,0,0,0,44402,7979,876,1119,670,923,0,0,610
2019-07-25,58779,0,0,19549,0,45631,7627,894,1095,700,376,0,0,817
2019-07-26,65773,5,0,26581,0,28188,7653,908,1025,704,323,0,0,942
2019-07-27,63465,0,0,26607,0,29256,6352,870,339,340,386,0,0,602
2019-07-28,63139,0,0,26511,0,29747,4108,614,2871,79,191,0,0,685
2019-07-29,73771,0,0,27512,0,32355,7276,875,1170,629,311,0,0,907
2019-07-30,60811,0,0,26542,0,32932,8226,917,1238,694,239,0,0,730
2019-07-31,75952,0,0,28778,0,52324,8112,903,1202,673,52,0,0,440
