Date,HER1
2021-07-13,6.169764134
2021-07-14,5.640062999
2021-07-15,5.877724098
2021-07-16,5.098995167
2021-07-17,4.750791463
2021-07-18,4.368102953
2021-07-19,6.052907162
2021-07-20,5.150433062
2021-07-21,5.630084946
2021-07-22,5.92944218
2021-07-23,5.350603547
2021-07-24,5.17004266
2021-07-25,4.606004369
2021-07-26,6.289042209
2021-07-27,5.954550307
2021-07-28,5.739420529
2021-07-29,4.890795151
2021-07-30,6.791316491
2021-07-31,5.429535075
2021-08-01,4.05058
2021-08-02,5.53764
2021-08-03,5.7225
2021-08-04,6.38124
2021-08-05,6.47894
2021-08-06,6.00853
2021-08-07,4.13456
2021-08-08,4.24094
2021-08-09,6.24639
2021-08-10,5.76049
2021-08-11,6.01011
2021-08-12,6.66015
2021-08-13,6.39412
2021-08-14,5.30309
2021-08-15,4.18661
