Date,NER1,NER2,NER3,NER4,NER5
2021-06-11,378157,141799,65002,44307,126999
2021-06-12,307524,141800,596,40087,125000
2021-06-13,391940,141800,85001,40087,125000
2021-06-14,391940,141800,85001,40087,125000
2021-06-15,383685,141800,70000,44834,127001
2021-06-16,376685,141800,65000,44834,125001
2021-06-17,418271,141799,105000,46416,125001
2021-06-18,406424,141801,95000,44571,125000
2021-06-19,378771,141801,75000,36922,124999
2021-06-20,378771,141801,75000,36922,124999
2021-06-21,378771,141801,75000,36922,124999
2021-06-22,415106,141801,105000,43252,125000
2021-06-23,416688,141799,105001,44834,125000
2021-06-24,423273,141800,110000,46416,125001
2021-06-25,414687,141801,103000,44834,124998
2021-06-26,360880,141800,55000,39032,125001
2021-06-27,410885,141800,105000,39032,125000
2021-06-28,410885,141800,105000,39032,125000
2021-06-29,418106,141801,105000,43252,127999
2021-06-30,419160,141801,105000,44307,127999
2021-07-01,419564,141800,105000,42726,130000
2021-07-02,419821,141800.5,106250,42725.5,130000
2021-07-03,428455,141800,116000,40617,130000
2021-07-04,422454,141800,110000,40617,130000
2021-07-05,422454,141800,110000,40617,130000
2021-07-06,428257,141800,110000,46418,130000
2021-07-07,430674,141799,114000,44836,130000
2021-07-08,428148,141800,112000,44308,130000
2021-07-09,406673,141800,90000,44836,130000
2021-07-10,376396,141801,65000,39562,130000
2021-07-11,346392,141800,35000,39562,130000
2021-07-12,376396,141801,65000,39562,130000
