Date,TOP1
2020-06-21,84.281114
2020-06-22,71.2912
2020-06-23,70.873145
2020-06-24,82.886661
2020-06-25,113.786284
2020-06-26,118.679004
2020-06-27,83.373265
2020-06-28,111.96575
2020-06-29,172.26367
2020-06-30,170.803371
2020-07-01,167.67965
2020-07-02,165.663607
2020-07-03,97.421651
2020-07-04,75.33653
2020-07-05,70.676478
2020-07-06,69.92537
2020-07-07,70.939219
2020-07-08,69.691587
2020-07-09,71.338875
2020-07-10,69.668985
2020-07-11,70.047594
2020-07-12,69.967747
2020-07-13,35.704116
2020-07-14,85.115267
2020-07-15,135.746999
2020-07-16,120.006193
2020-07-17,122.731814
2020-07-18,129.264709
2020-07-19,107.557173
2020-07-20,129.64911
2020-07-21,137.923195
2020-07-22,136.914714
2020-07-23,123.582191
2020-07-24,129.721752
2020-07-25,112.797728
2020-07-26,121.23426
2020-07-27,117.529918
2020-07-28,133.297779
2020-07-29,141.075452
2020-07-30,133.739279
2020-07-31,142.541375
2020-08-01,117.759721
2020-08-02,128.447987
2020-08-03,138.071763
2020-08-04,137.588164
2020-08-05,142.420235
2020-08-06,128.175252
2020-08-07,139.791235
2020-08-08,140.139331
2020-08-09,139.833404
2020-08-10,139.40016
2020-08-11,137.490841
2020-08-12,122.109651
2020-08-13,117.158803
2020-08-14,122.723448
2020-08-15,139.96975
2020-08-16,133.210382
2020-08-17,127.010045
2020-08-18,129.704483
2020-08-19,139.680029
2020-08-20,141.875365
2020-08-21,140.733077
2020-08-22,77.364863
2020-08-23,138.446487
2020-08-24,139.071698
2020-08-25,139.028826
2020-08-26,133.536583
2020-08-27,139.442785
2020-08-28,139.048461
2020-08-29,138.428583
2020-08-30,135.45935
2020-08-31,138.226639
2020-09-01,138.226639
2020-09-02,137.122717
2020-09-03,137.710742
2020-09-04,139.050968
2020-09-05,132.092355
2020-09-06,131.189818
2020-09-07,125.14596
2020-09-08,115.790328
2020-09-09,122.85711
2020-09-10,116.590841
2020-09-11,119.053085
2020-09-12,116.333432
2020-09-13,127.933382
2020-09-14,138.637681
2020-09-15,126.421314
2020-09-16,137.409296
2020-09-17,129.803894
2020-09-18,139.58143
2020-09-19,140.131915
2020-09-20,140.297541
2020-09-21,119.445149
2020-09-22,116.911321
2020-09-23,120.99737
2020-09-24,140.146853
2020-09-25,141.453849
2020-09-26,132.596754
2020-09-27,116.446051
2020-09-28,124.558112
2020-09-29,140.365027
2020-09-30,137.144859
2020-10-01,138.14829
2020-10-02,138.531348
2020-10-03,120.987128
2020-10-04,115.289707
2020-10-05,124.48607
2020-10-06,121.343135
2020-10-07,127.648075
2020-10-08,127.060933
2020-10-09,133.053055
2020-10-10,126.977484
2020-10-11,115.960015
2020-10-12,139.915613
2020-10-13,133.675723
2020-10-14,116.14072
2020-10-15,120.162955
2020-10-16,119.779649
2020-10-17,124.725609
2020-10-18,133.553005
2020-10-19,123.134331
2020-10-20,133.148828
2020-10-21,97.350069
2020-10-22,136.439308
2020-10-23,134.007116
2020-10-24,103.737044
2020-10-25,111.745527
2020-10-26,114.472173
2020-10-27,113.064071
2020-10-28,97.469891
2020-10-29,101.80685
2020-10-30,116.342296
2020-10-31,99.666464
2020-11-01,103.943776
2020-11-02,103.812476
2020-11-03,108.895245
2020-11-04,106.705242
2020-11-05,109.432381
2020-11-06,124.670942
2020-11-07,82.967217
2020-11-08,82.683676
2020-11-09,87.717111
2020-11-10,118.514501
2020-11-11,113.592732
2020-11-12,113.354358
2020-11-13,111.028781
2020-11-14,106.476049
2020-11-15,111.505317
2020-11-16,119.293084
2020-11-17,108.717718
2020-11-18,113.676498
2020-11-19,112.615716
2020-11-20,114.433079
2020-11-21,103.153716
2020-11-22,113.712837
2020-11-23,108.390034
2020-11-24,111.449025
2020-11-25,104.929655
2020-11-26,120.282954
2020-11-27,115.033464
2020-11-28,14.52411
2020-11-29,62.367113
2020-11-30,67.764713
2020-12-01,63.620643
2020-12-02,63.908104
2020-12-03,70.898148
2020-12-04,88.186937
2020-12-05,107.984763
2020-12-06,81.257281
2020-12-07,99.667417
2020-12-08,85.303989
2020-12-09,79.866131
2020-12-10,61.522916
2020-12-11,96.706
2020-12-12,102.230096
2020-12-13,98.543175
2020-12-14,124.376912
2020-12-15,106.490387
2020-12-16,111.730165
2020-12-17,113.132158
2020-12-18,110.912101
2020-12-19,110.58763
2020-12-20,110.865839
2020-12-21,127.500495
2020-12-22,127.360613
2020-12-23,108.402994
2020-12-24,103.998761
2020-12-28,46.707954
