"","Date","CHI_III","GAD_CHI","GAD_JUA","KM_Hueco","SIS","SMY_BRN","SMY_I","SMY_II"
"118",2024-05-21,43.1034630291,60.6566346641,27.2292934909,229.4647852811,61.8356159236,0,64.5709866415,94.1809500035
"119",2024-05-22,49.1092927993,60.488077601,28.5875321676,230.5112657862,36.1380975452,0,59.8066098351,89.2322304631
"120",2024-05-23,49.8078175653,60.5391426572,29.5905049623,253.0868234258,36.9602943906,0,59.8299528518,89.2826598547
"121",2024-05-24,49.6123507008,60.5107496384,29.5744014591,250.8413029116,41.5790333742,0,61.6929445356,90.2045500982
"122",2024-05-25,45.5882406358,55.4901999982,22.7458804377,244.3883537247,30.6684861798,0,61.4955706773,88.9985177785
"123",2024-05-26,45.5671224452,55.4707062838,17.8856948502,239.5755251499,24.0781274952,0,55.0277893164,88.9370702005
"124",2024-05-27,45.6675221373,62.3157545848,22.750436034,244.4725439695,38.5422870065,0,61.5696609179,90.0217258963
"125",2024-05-28,45.6805179469,55.3542737179,22.6823139777,199.4006748771,76.2169977781,0,61.5541224499,89.0813660647
"126",2024-05-29,46.600218679,55.476215377,25.5189672552,247.5546697267,31.3443742231,0,61.441927648,88.9585415381
"127",2024-05-30,47.5835211858,62.4702210826,25.7124918112,249.1548140984,39.6400797707,0,61.6683655044,90.2897291546
"128",2024-05-31,49.2596981066,62.1228656934,25.5834518974,249.6672303954,36.7315963934,0,59.5031859327,88.8040044109
"129",2024-06-01,48.8478933899,56.9572432656,22.681572369,215.393183975,34.8193053884,0,59.5345100716,61.2520758208
"130",2024-06-02,48.9056329244,53.9429570471,22.7266692409,225.3130125756,22.1434822851,0,50.4349006932,69.6595877086
"131",2024-06-03,48.8200654063,62.6074893215,22.641313611,231.7780393899,32.4432264283,0,49.4156478218,71.2819450266
"132",2024-06-04,49.7788241966,61.8055631139,24.6101434507,241.1798013415,45.4331031587,0,61.3148300427,88.7713383134
"133",2024-06-05,49.8470875117,61.8510837622,25.6041816263,226.0964338804,39.8147462769,0,54.9645406887,64.896058455
"134",2024-06-06,49.7512787306,56.9450950088,25.5684078352,221.3626042895,39.4607517241,0,59.4706964087,60.2121991646
"135",2024-06-07,47.7539146133,56.8622467226,21.7064275579,244.775367522,12.447019162,0,41.128205914,80.3275935434
"136",2024-06-08,45.8011529621,56.9790677502,20.7692107346,240.9892079056,15.2482164807,0,42.9390377859,80.4339967345
"137",2024-06-09,45.9126061553,63.7892251276,20.7847138879,251.9244400753,11.4251883175,0,45.808109958,77.8849816885
"138",2024-06-10,46.0536530671,64.8874769829,20.843089087,236.8489477923,27.3347784998,0,55.1099666233,68.9110220127
"139",2024-06-11,47.5566113844,56.9333352137,25.5579899987,259.9843846857,16.3549791787,0,47.5732092934,88.7311148701
"140",2024-06-12,0,0,0,0,0,0,0,0
"141",2024-06-13,0,0,0,0,0,0,0,0
"142",2024-06-14,0,0,0,0,0,0,0,0
"143",2024-06-15,45.7341609762,56.8966079257,20.744561074,245.1124110188,22.2917333957,0,45.7099704067,88.673445965
"144",2024-06-16,45.69369033,56.8417288819,20.7163446287,243.2179186226,21.3564941956,0,42.9482549226,88.5732581611
"145",2024-06-17,45.8399285027,57.0356772143,20.7850317202,245.1124110188,41.0518202179,0,54.9790550304,97.9975155766
"146",2024-06-18,48.7847153916,56.9591149447,24.6142752706,236.4980962478,25.4658186317,0,45.766085465,84.2643703553
"147",2024-06-19,48.8892822183,64.6979783027,23.6552692774,248.4460127547,32.4429792254,0,46.6653743005,87.2491334846
"148",2024-06-20,48.9583577715,47.5792834218,20.8097166955,250.0015546603,11.5953698568,0,46.7722365827,88.9590006292
"149",2024-06-21,51.2093520642,57.4915193619,20.952917804,244.4269526918,21.577634847,0,41.42767457,87.4299447486
"150",2024-06-22,0,0,0,0,0,0,0,0
"151",2024-06-23,0,0,0,0,0,0,0,0
"152",2024-06-24,50.0074162497,62.1670796978,20.8895985469,232.63205478,27.8818385175,0,30.3724430497,89.2668388691
"153",2024-06-25,49.981248057,57.25219164,22.8105769681,215.8534404601,48.74134894,0,41.418845895,91.9766064295
"154",2024-06-26,50.0061096058,57.2060000124,20.8536481823,222.5981243837,43.9975959184,0,41.3754794434,89.2159150717
"155",2024-06-27,40.1936730079,57.1400674675,20.8315764948,216.501006114,21.7354562413,0,41.3465920188,77.8131515887
"156",2024-06-28,49.9894410674,60.1366257066,20.8611348987,238.7562594246,32.9259430626,0,48.739230058,91.0187305067
"157",2024-06-29,50.0057211441,57.221820998,20.86039329,233.4181953167,21.4143396742,0,36.7844271846,89.201047583
"158",2024-06-30,50.0620834053,57.2851049404,20.8817586835,226.1070989198,21.3898665871,0,29.4595933694,88.9544803476
"159",2024-07-01,50.0108064609,58.1843584612,22.7953563324,246.9245142199,28.3732778827,0,46.0175614437,90.1511895865
