Date,FPO1001,FPO1002,FPO2001,FPO2004,FPO2007,FPO2008
2021-05-11,,,"235,127.66","312,373.12",,"67,448.48"
2021-05-12,,,"274,315.60","294,663.19",,"37,303.91"
2021-05-13,,,"198,577.36","316,518.00",,"73,100.59"
2021-05-14,,,"237,388.50","246,055.06",,"70,839.74"
2021-05-15,,,"105,506.00","172,577.67",,"73,854.20"
2021-05-16,,,"272,054.76","173,331.29",,"72,723.78"
2021-05-17,,,"312,373.12","231,736.39",,"72,346.97"
2021-05-18,,,"312,749.93","237,011.69",,"73,854.20"
2021-05-19,,,"301,822.52","238,518.92",,"72,346.97"
2021-05-20,,,"303,706.56","284,112.59",,"48,231.31"
2021-05-21,,,"312,373.12","289,011.08",,"43,709.63"
2021-05-22,,,"275,822.83","254,721.63",,"37,303.91"
2021-05-23,,,"376,053.53","275,446.02",,"23,738.85"
2021-05-24,,,"316,518.00","305,590.59",,"45,593.66"
2021-05-25,,,"308,228.24","296,924.03",,"72,346.97"
2021-05-26,,,"243,794.22","274,692.41",,"52,753.00"
2021-05-27,,,"322,923.72","243,040.61",,"72,346.97"
2021-05-28,,,"355,705.94","272,054.76",,"101,737.93"
2021-05-29,,,"349,677.03","313,126.74",,"72,346.97"
2021-05-30,,,"303,329.75","284,866.20",,"71,216.55"
2021-05-31,,,"326,503.39","298,996.47",,"71,781.76"
2021-06-01,"594,800.00",0,"261,705.00","305,012.00",0,"112,606.00"
2021-06-02,"660,927.00",0,"280,857.00","366,723.00",0,"115,938.00"
2021-06-03,"684,978.00",0,"285,590.00","326,211.00",0,"119,931.00"
2021-06-04,"652,221.00",0,"266,436.00","332,516.00",0,"114,721.00"
2021-06-05,"572,204.00",0,"292,667.00","269,997.00",0,"64,551.00"
2021-06-06,"509,097.00",0,"257,047.00","250,643.00",0,"14,251.00"
2021-06-07,"565,385.00",0,"271,373.00","296,365.00",0,"95,699.00"
2021-06-08,"700,469.00",0,"369,539.00","285,615.00",0,"97,725.00"
2021-06-09,"747,619.00",0,"372,148.00","291,302.00",0,"95,810.00"
2021-06-10,"742,622.00",0,"340,722.00","293,580.00",0,"94,703.00"
2021-06-11,"697,868.00",0,"349,355.00","292,559.00",0,"69,072.00"
2021-06-12,"660,663.00",0,"293,115.00","271,755.00",0,"94,779.00"
2021-06-13,"644,275.00",0,"272,914.00","273,140.00",0,"95,318.00"
2021-06-14,"614,441.00",0,"240,056.00","275,258.00",0,"94,186.00"
2021-06-15,0,0,"266,091.00","317,805.00",0,0
2021-06-16,0,0,"250,094.00","268,652.00",0,0
2021-06-17,0,0,"298,364.00","322,938.00",0,0
2021-06-18,0,0,"293,591.00","320,119.00",0,0
2021-06-19,0,0,"236,496.00","271,752.00",0,0
2021-06-20,0,0,"239,457.00","281,741.00",0,0
2021-06-21,0,0,"239,378.00","261,592.00",0,0
2021-06-22,0,0,"329,101.00","286,266.00",0,0
2021-06-23,0,0,"240,935.00","302,219.00",0,0
2021-06-24,0,0,"250,616.00","291,920.00",0,0
2021-06-25,0,0,"282,018.00","248,908.00",0,0
2021-06-26,0,0,"250,624.00","207,432.00",0,0
2021-06-27,0,0,"209,535.00","153,547.00",0,0
2021-06-28,0,0,230079,180489,0,0
2021-06-29,0,0,219807,167018,0,0
2021-06-30,0,0,224943,173753,0,0
2021-07-01,524818,0,193871,235216,0,78481
2021-07-02,523909,0,229416,232493,0,78192
2021-07-03,447138,0,185421,204300,0,78073
2021-07-04,480002,0,189636,198523,0,106252
2021-07-05,541198,0,244386,214097,0,107270
2021-07-06,601544,0,298996,196110,0,106291
2021-07-07,667878,0,291363,286721,0,105165
2021-07-08,695118,0,303997,278419,0,109068
2021-07-09,639411,0,279777,269538,0,80575
2021-07-10,576335,0,220655,269167,0,78933
2021-07-11,561705,0,185183,279753,0,105977
2021-07-12,584093,0,240653,248705,0,84368
2021-07-13,496779,0,201413,269600,0,79751
2021-07-14,619600,0,217154,311321,0,104373
2021-07-15,614238,0,226112,290569,0,106752
2021-07-16,628061,0,237631,309060,0,106416
2021-07-17,611736,0,230509,300141,0,78958
2021-07-18,560052,0,192696,298145,0,77679
2021-07-19,615417,0,236794,296379,0,106986
2021-07-20,682172,0,296820,316313,0,107680
2021-07-21,737025,0,341086,253871,0,108006
2021-07-22,646052,0,296691,225156,0,102720
2021-07-23,546646,0,246464,216876,0,78378
2021-07-24,473013,0,225780,198028,0,52561
2021-07-25,448208,0,224535,166313,0,47392
2021-07-26,550375,0,262621,203583,0,105679
2021-07-27,649291,0,335340,218480,0,0
2021-07-28,610264,0,328364,186837,0,0
2021-07-29,570083,0,289557,188629,0,0
2021-07-30,,,,,,
2021-07-31,,,,,,
2021-08-01,386719,0,155051,201972,0,39065
